date,end_date,event_name,event_type,venue,address,city,county,state,audience,tabling_confirmed,tabling_details,cost,contact_name,contact_email,contact_phone,registration_url,source_url,date_found,notes
2026-06-27,2026-07-05,Monroe County Fair,fair,Monroe County Fairgrounds,,Paris,Monroe,MO,general public incl. seniors,implied,,,,,,,https://tradeshowz.com/events/12667/monroe-county-fair,2026-06-25,"Rodeo food vendors demolition derby carnival rides 4-H projects; commercial vendors implied"
2026-07-05,2026-07-11,Macon County Town & Country Fair,fair,Macon County Fairgrounds,,Macon,Macon,MO,general public incl. seniors; Senior Citizens Day,implied,,,,,,https://fairentry.com/Public/EnterFair/23307,https://www.maconmochamber.com/event-calendar/macon-county-town-amp-country-fair-macon-county-fairgrounds,2026-06-25,"Senior Citizens Day 9am-2pm; Mrs. Senior Macon County Pageant; 2026 vendor details TBD per fair website"
2026-07-05,2026-07-12,Scotland County Fair,fair,Scotland County Fairgrounds,,Memphis,Scotland,MO,general public incl. seniors,implied,,,,,,,https://scotlandcountyfair.com/,2026-06-25,"2026 theme: Homegrown Happiness; dates estimated per 2025 (Jul 5-12); rodeo at fairgrounds confirmed Jul 8 2026 per rodeosusa.com/rodeos/scotland-county-fair-rodeo"
2026-07-09,2026-07-13,Ralls County Junior Fair,fair,,,Center,Ralls,MO,general public incl. seniors,implied,,,,,,,https://local.aarp.org/place/ralls-county-junior-fair-center-mo.html,2026-06-25,"Annual community fair; 4-H/FFA livestock shows; contact Ralls County Extension for vendor info"
2026-07-13,2026-07-18,NEMO Fair,fair,NEMO Fairgrounds,"2700 East Illinois Street, Kirksville, MO 63501",Kirksville,Adair,MO,general public incl. seniors,implied,,,,nemofair@gmail.com,660-665-8800,https://nemofair.net/events/,https://nemofair.net/2026-nemo-fair/,2026-06-25,"Regional Northeast Missouri fair; free admission opening day Jul 13; contact fair for vendor/exhibitor info"
2026-07-13,2026-07-18,Linn County Youth Fair,fair,Linn County 4-H/FFA Fairgrounds,"29248 Idalis Dr., Brookfield, MO 64628",Brookfield,Linn,MO,general public incl. seniors,implied,,,,linncountyyouthfair@gmail.com,660-895-5123,,https://www.linncofair.com/,2026-06-25,
2026-07-15,2026-07-17,Clark County Fair,fair,Clark County Fairgrounds,"23130 E Main St, Kahoka, MO 63445",Kahoka,Clark,MO,general public incl. seniors,implied,Vendor information page on fair website,,,,,,https://www.clarkcountyfairkahoka.com/,2026-06-25,"Confirmed events Jul 15-17; fair may run additional days; livestock shows art show UTV rodeo demolition derby; vendor info at clarkcountyfairkahoka.com/vendorinformation"
2026-07-15,2026-07-19,Mercer County Fair,fair,Mercer County Fairgrounds,,Princeton,Mercer,MO,general public incl. seniors,implied,,,,,,,https://mercercountyfair.org/,2026-06-25,"Vendors also set up Saturdays in front of Mercer County Senior Center per Princeton Chamber Super Saturdays Community Market program"
2026-07-17,2026-07-24,Putnam County Fair,fair,Putnam County Fairgrounds,,Unionville,Putnam,MO,general public incl. seniors,implied,,,,,,,https://cofairs.com/missouri/putnam-county-fair,2026-06-25,"Agricultural educational events competitions and contests; contact fair board for vendor details"
2026-07-18,2026-07-22,Audrain County Youth Fair,fair,Audrain County Fairgrounds,,Mexico,Audrain,MO,general public incl. seniors,implied,,,,,,https://fairentry.com/public/EnterFair/23782,https://tradeshowz.com/events/13143/audrain-county-youth-fair,2026-06-25,"4-H/FFA youth fair Jul 18-22; contact Audrain County Extension for vendor info"
2026-07-21,2026-07-25,Lewis County Fair,fair,Lewis County Fairgrounds,,Lewistown,Lewis,MO,general public incl. seniors,implied,"Vendors and concessions open by 10am; vendor application on website",,,,573-497-2770,https://lewiscountyfair.com,https://lewiscountyfair.wixsite.com/lewiscountyfair,2026-06-25,"Gate admission free; events begin 9am daily; 4-H FFA livestock shows grandstand events"
2026-07-28,2026-08-01,Pike County Fair,fair,Pike County Fairgrounds,,Bowling Green,Pike,MO,general public incl. seniors,yes,"Commercial vendor space available; contact Committee Chair Christy Dempsey",,Christy Dempsey,,573-213-9876,https://pikecountyfair.org/,https://pikecountyfair.org/,2026-06-25,"5-day fair; rodeo demolition derby dirt bike races quad races kids activities"
2026-08-01,2026-08-08,Marion County Fair,fair,Flower City Park,,Palmyra,Marion,MO,"general public incl. seniors; Senior Night featured",yes,"Vendor applications to parks@palmyramo.gov",,,parks@palmyramo.gov,573-769-0777,https://marioncountyfair.org/,https://marioncountyfair.org/,2026-06-25,"Senior Night debut at 2026 fair — BOGO general admission for seniors; livestock horse arts & crafts rodeo merchant vendors"
2026-08-24,2026-08-29,Randolph County Fair,fair,Motorsports Park,"4081 Hwy 24, Moberly, MO",Moberly,Randolph,MO,general public incl. seniors,implied,,,,randolphcountyfairmo@gmail.com,,https://www.randolphcountymofair.com/register-for-the-fair,https://www.randolphcountymofair.com/,2026-06-25,
2026-09-02,2026-09-06,Sullivan County Fair,fair,Sullivan County Fairgrounds,,Milan,Sullivan,MO,general public incl. seniors,implied,,,,,,,https://sullivancountyfair.org/fair-schedule/,2026-06-25,
2026-09-04,2026-09-06,Knox County Corn Festival,festival,Edina Town Square,,Edina,Knox,MO,general public incl. seniors,implied,"Craft show vendor booths; raffle prizes; local group sponsorships",,,,,,https://festivalnet.com/36072/Edina-Missouri/Festivals/Knox-County-Corn-Festival,2026-06-25,"Annual town square festival; craft show baby show talent contest car show small kids rides basketball tournament daily entertainment"
2026-09-12,,ATSU Healthcare Expo,health fair,A.T. Still University — Kirksville Campus,"800 W. Jefferson St., Kirksville, MO 63501",Kirksville,Adair,MO,"healthcare professionals and community incl. seniors; free health screenings",yes,"Exhibitor booths available; contact kirksvilleexpo@atsu.edu",,,kirksvilleexpo@atsu.edu,,https://www.atsu.edu/healthcare-expo/kirksville,https://www.atsu.edu/healthcare-expo/kirksville,2026-06-25,"Free screenings: dental skin oral cancer hearing; food trucks kids zone; Kirksville campus exhibitor registration open"
2026-09-18,2026-09-20,Sterling Price Days,festival,Downtown Keytesville,,Keytesville,Chariton,MO,general public incl. seniors,yes,"Craft and direct sales vendor booths; handmade goods art jewelry clothing",,,,,,https://www.keytesvillemo.com/organization/sterling-price-days-steering-committee/,2026-06-25,"Annual festival second weekend September; parade crafts food trucks entertainment; Chariton County"
