date,end_date,event_name,event_type,venue,address,city,county,state,audience,tabling_confirmed,tabling_details,cost,contact_name,contact_email,contact_phone,registration_url,source_url,date_found,notes
2026-06-26,2026-06-28,Dallas County Fair,fair,Dallas County Fairgrounds,401 Park Dr,Buffalo,Dallas,MO,general public,yes,Commercial vendors confirmed as fair feature,,,,,https://www.dallascountyfair.com/events/,https://www.buffaloareachamber.org/2025/06/26/271116/dallas-county-fair-jr-livestock-show,2026-06-26,Last weekend of June; features livestock shows/tractor pulls/bingo/concerts; fair running today
2026-07-04,2026-07-11,Laclede County Fair,fair,Lebanon Fairgrounds,101 N Jackson Ave,Lebanon,Laclede,MO,general public,yes,Commercial and food vendor booths confirmed; home exhibits available,,,lacledecountyfair@gmail.com,(417) 718-6752,https://www.lacledecountyfair.org/events,https://www.lacledecountyfair.org/,2026-06-26,~30000 attendees; first full week after July 4; next to Cowan Civic Center
2026-07-07,2026-07-11,Texas County Livestock Fair & Old Settlers Reunion,fair,Texas County Fairgrounds,North US-63,Houston,Texas,MO,general public; Old Settlers Reunion draws longtime community members,yes,Arts & crafts vendors in community building; $5/night chamber members; $10/night non-members,$5-$10 per night booth,,information@houstonmochamber.com,417-967-2220,,https://houstonherald.com/2026/06/texas-county-livestock-fair-set-for-july-7-11/,2026-06-26,Fair Board: texascountyfairboard@gmail.com / 417-260-0471
2026-07-14,2026-07-18,79th Annual Crawford County Fair,fair,Hood Park,1 Hood Drive,Cuba,Crawford,MO,general public,yes,Vendor applications for food trucks and non-food vendors,,,crawfordcountymofair@gmail.com,573-885-4155,https://crawfordcountyfair.info/vendors-exhibitors/,https://crawfordcountyfair.info/,2026-06-26,"Theme: Red, White and Route 66; Cuba is on Route 66"
2026-07-15,2026-07-18,Webster County Fair,fair,Webster County Fairgrounds,614 N Marshall St,Marshfield,Webster,MO,general public,yes,Commercial vendor pavilion with confirmed vendor spots,,,,,,https://www.webstercountyfair.com/,2026-06-26,Longest continuously running county fair in MO (since 1938); Championship Rodeo; verify exact dates at webstercountyfair.com
2026-07-18,2026-07-19,Douglas County Fair,fair,Douglas County Fairgrounds,,Ava,Douglas,MO,general public,yes,Commercial Vendor Application page available at douglasfairgrounds.com/fair/exhibitors_commercial.html,,,,,https://douglasfairgrounds.com/fair/exhibitors_commercial.html,https://www.facebook.com/douglascountymofair/posts/douglas-county-fair-dates-have-been-announced-for-2026the-douglas-county-fair-wi/893361676382257/,2026-06-26,Sat 10am-6pm / Sun 10am-5pm; 2026 dates confirmed on Facebook page
2026-07-24,,Christian County Livestock Show,fair,Finley River Park,907 N Riverside Rd,Ozark,Christian,MO,community; youth livestock/4-H/FFA with public rodeo attendance,unknown,,,,,,http://www.ccmofair.com/schedule-of-events.html,http://www.ccmofair.com/,2026-06-26,Held with Ozark Booster Club Pro-Rodeo; confirm 2026 date and vendor access directly with fair board
2026-07-25,2026-07-26,Old Settlers' Days,festival,Roubidoux Park,,Waynesville,Pulaski,MO,general public; community heritage festival,yes,Vendor applications accepted; food and craft vendors welcome,,,,,https://oldsettlers.net/vendor-application/,https://oldsettlers.net/,2026-06-26,Annual heritage festival downtown Waynesville; Fort Leonard Wood area draws large population
2026-07-30,2026-08-08,90th Annual Ozark Empire Fair,fair,Ozark Empire Fairgrounds,3001 N Grant Ave,Springfield,Greene,MO,general public; major regional fair with large senior attendance,yes,65+ commercial exhibit booths available; new exhibitors first-come basis,,,,417-833-2660,https://www.ozarkempirefair.com/p/fair/vendors,https://www.ozarkempirefair.com/p/fair,2026-06-26,Springfield major market; vendor contact also Lance Markley 620-423-2355; 90th annual
2026-08-07,2026-08-08,Mountain Grove Heritage Festival,festival,Mountain Grove City Square,114 Union St,Mountain Grove,Wright,MO,general public; community festival,yes,"175-200+ vendor booths; craft/art/food vendors; free admission",,,MGHistoryAndArtsCouncil@hotmail.com,417-350-3071,,https://www.visitmo.com/events/mountain-grove-heritage-festival-5,2026-06-26,One of largest events in Wright County; contact organizers for vendor application
2026-09-07,,Crocker Railroad Days,festival,Crocker Community Park,113 Park St,Crocker,Pulaski,MO,general public; community festival,implied,"Food vendors, craft vendors, farmers market vendors; parade and car show",,,,,,https://visitpulaskicounty.org/events/cant-miss-events/crocker-railroad-days,2026-06-26,9AM-5PM; street dance 7-10:30PM; annual Pulaski County community festival
2026-09-17,2026-09-19,Hootin an Hollarin Festival,craft fair,Courthouse Square,,Gainesville,Ozark,MO,general public; artisan and craft community festival,yes,Completed vendor application required; booth on asphalt; vendor cancellation refund by Aug 15,,Barbara Luna,,417-712-1946,https://hootinanhollarin.com/vendor-information,https://hootinanhollarin.com/,2026-06-26,Annual Ozark County artisan festival; also contact Sherry Ginthum 417-522-6265 or Dia Premer 417-543-0337
