date,end_date,event_name,event_type,venue,address,city,county,state,audience,tabling_confirmed,tabling_details,cost,contact_name,contact_email,contact_phone,registration_url,source_url,date_found,territory_status,notes
2026-06-27,2026-07-05,National Tom Sawyer Days - Kiwanis Arts & Crafts Festival,festival,Historic Downtown Hannibal / Central Park,"Downtown Hannibal, MO (Central Park area, 320 S 3rd St)",Hannibal,Marion,MO,General public including seniors; major multi-day community festival with broad age range,yes,"Outdoor arts and crafts vendor booths in block-square park downtown. Booth space $150 + $14 city merchandisers license. Food vendor spaces $500 each (includes electricity). All booths must be paid in full by June 15, 2026. Contact Kiwanis Club of Hannibal.",Booth space: $150 + $14 license for arts/crafts; $500 for food vendors,Kiwanis Club of Hannibal,,,https://hannibalkiwanis.org/arts-crafts-festival,https://hannibalkiwanis.org/arts-crafts-festival,2026-06-28,confirmed,71st Annual National Tom Sawyer Days runs June 27-July 5 2026. Arts & Crafts Festival runs concurrently in downtown Hannibal. Organized by Hannibal Evening Kiwanis. Festival includes fence painting frog jumping fireworks carnival live music parade arts & crafts show. Seniors are a regular part of the community attendance. Window start is June 28 so most of the event falls within scope.
2026-06-28,2026-09-26,Princeton Community Market & Super Saturdays,craft fair,Princeton Square (east side in front of Mercer County Senior Center),"110 N Broadway area, Princeton Square, Princeton, MO 64673",Princeton,Mercer,MO,"All ages; held directly in front of and in partnership with the Mercer County Senior Center, attracting significant senior attendance; Senior Center expressed interest in collaborating on summer ice cream social",yes,"FREE vendor spaces. Vendors set up on the east side of the Princeton Square in front of the Senior Center, Saturdays 8am-noon. No charge to vendors. Activities planned for each Saturday. May pause during Mercer County Fair week (July 15-19). Contact Princeton Chamber at 660-748-4009.",Free,,,,https://www.facebook.com/pages/Princeton-Community-Market-and-Super-Saturdays,https://www.kttn.com/princeton-chamber-discusses-market-launch-and-july-fourth-plans/,2026-06-28,confirmed,"Began May 2, 2026; runs Saturdays 8am-noon through summer (end date not specified publicly but at least through fall). Confirmed by kttn.com and northwestmoinfo.com. Date range shown here is remainder of search window (June 28 - Sept 26, 2026). Note: scheduling conflict noted with Mercer County Fair (July 15-19) so may skip those Saturdays. Senior Center partnership confirmed. Full calendar on Facebook page 'Princeton Community Market and Super Saturdays.'"
2026-06-28,2026-09-26,Kirksville Kiwanis Farmers Market,other,North Elson and East Washington Streets,N. Elson St. & E. Washington St.,Kirksville,Adair,MO,General community shoppers; farmers markets consistently attract 55+ shoppers seeking fresh produce and local goods,yes,Vendor spots available through the Kiwanis Club of Kirksville; market operates every Saturday May through October 7am-12pm. Vendor applications through market management.,,,,,https://nfmd.org/mo/kirksville/1008594/,https://nfmd.org/mo/kirksville/1008594/,2026-06-28,confirmed,"Recurring weekly market every Saturday May through October, 7:00am-12:00pm. Dates shown cover the search window (June 28 - September 26, 2026). Saturdays during this window: July 4, 11, 18, 25; Aug 1, 8, 15, 22, 29; Sept 5, 12, 19, 26. Operated by Kirksville Kiwanis Club. Also referenced at Facebook page kirksvillekiwanisfarmersmarket."
2026-07-02,2026-09-24,Sullivan County Farmers Market,other,Community Corner (1st & Market),"120 W. 1st Street (corner of W 1st St and N Market St), Milan, MO 63556",Milan,Sullivan,MO,General public including seniors; farmers market draws older adult shoppers in small rural communities,implied,Weekly outdoor farmers market with multiple vendors selling produce and goods. Vendor spots available; contact Sullivan County Health Department at (660) 265-4141 for vendor inquiries. Market runs Thursdays 2:30-6pm (also reported as 3pm-6pm) May through October.,Free admission,,,(660) 265-4141,https://schdmilanmo.com/sullivan-county-farmers-market/,https://schdmilanmo.com/sullivan-county-farmers-market/,2026-06-28,confirmed,"Weekly recurring market, Thursdays, May through October. Dates within the search window (2026-06-28 to 2026-09-26) include Thursdays from July 2 through September 24, 2026. Operated by Sullivan County Health Department. Sells Missouri produce: peaches, blackberries, tomatoes, potatoes, zucchini, cantaloupes, watermelon, onions, etc. Date listed is first Thursday in window; end_date is last Thursday in window."
2026-07-02,2026-09-24,Brookfield Farmers Market (Thursdays),craft fair,East John Street near Twin Parks,E. John St,Brookfield,Linn,MO,General community; seniors are a significant portion of shoppers at small-town Missouri farmers markets,implied,Open vendor market — vendors must have homegrown or homemade items and be set up by 3:00 PM. Market also lists a Saturday market at Prenger's Foods parking lot (542 S Main St) year-round 8am-noon.,,,,,https://missourigrownusa.com/members/9931,https://missourigrownusa.com/members/9931,2026-06-28,confirmed,"Operates Thursdays 3-6 PM, May through October (Saturdays year-round 8am-noon). Also referenced by Linn County Leader as 'open every Thursday.' Market is at E. John Street near Twin Parks in Brookfield MO 64628. Recurring weekly market; individual Thursday dates within the search window (June 28 - Sept 26, 2026) are every Thursday from July through September 24. No explicit senior-focused programming found, but rural small-town farmers markets in MO consistently draw 65+ shoppers."
2026-07-03,2026-07-04,Princeton July 4th Independence Day Celebration (Junktique & More on the Square),festival,Princeton Square and Hal England Community Room,"Princeton Square, Princeton, MO 64673",Princeton,Mercer,MO,"General community including seniors; all-day street festival on the town square with vendors, food trucks, craft show, live music, and fireworks",yes,Vendors invited to set up on the Princeton Square (Junktique and More). Cost: $25 if no electricity needed. Craft show held at Hal England Community Room. Food trucks also expected. Chamber of Commerce organizes; contact at 660-748-4009.,$25 (no electricity needed),,,660-748-4009,,https://www.kttn.com/princeton-chamber-discusses-market-launch-and-july-fourth-plans/,2026-06-28,confirmed,"Confirmed by kttn.com articles: July 4 celebration with Junktique vendors on the square ($25/booth, no electricity), craft show at Hal England Community Room, food trucks, live band (Slippery When Wet tribute at 8pm), fireworks by Glenn Kirby at dusk. America's 250th birthday celebration. Source also: https://www.northwestmoinfo.com/local-news/princeton-chamber-discusses-4th-of-july-celebration-plans/"
2026-07-03,2026-07-04,Kirksville Annual Red White and Blue Festival,festival,Adair County Courthouse Lawn,Adair County Courthouse,Kirksville,Adair,MO,General public/community; civic celebration attracting all ages including seniors,implied,"Kirksville Arts Association manages vendor/exhibitor applications for festival events in Kirksville; pie contests, car show, parade, BBQ, and band concerts draw community-wide attendance including seniors",,,sswehla@kirksville.gov,660-665-2003,https://visitkirksville.com/t/all-american-red-white-and-blue-festival,https://visitkirksville.com/t/all-american-red-white-and-blue-festival,2026-06-28,confirmed,"July 3: United Way Pie Sale and Auction (4-7pm), MSK Red White & BBQ (5-7pm), Kirksville Community Band Concert and Summer on the Square at Courthouse lawn. July 4: Pancake Breakfast (7-11am), All-American Car Show, Independence Parade, Fireworks. Vendor applications referenced via Kirksville Arts Association."
2026-07-03,2026-07-04,Hurdland Fourth of July Celebration (154th Annual),festival,Hurdland Town Square,"Hurdland, MO 63547",Hurdland,Knox,MO,"General community; multi-generational audience including seniors; features bingo, antique tractor show, classic car show, and antique/collectibles vendors that attract older adults",implied,"Event includes commercial/retail, crafts, antique/collectibles, and food vendor exhibitor categories. ~20 exhibitors expected. Contact organizers via hurdland4thofjulycelebration.org for booth applications.",Free admission,,,,https://www.hurdland4thofjulycelebration.org/,https://festivalnet.com/78998/Hurdland-Missouri/Holiday-Celebrations/Hurdland-Fourth-of-July-Celebration,2026-06-28,confirmed,"154th consecutive annual celebration; oldest July 4th celebration in northeast Missouri; located on Hwy 6 between Kirksville (15 mi west) and Edina (7 mi east); features bingo, corn hole, classic car show, antique tractor show, live music, raffles, concessions. Festivalnet.com lists antique/collectibles, commercial/retail, corp./information, crafts, and food exhibitor categories. 2026 dates confirmed by festivalnet.com."
2026-07-05,2026-07-12,2026 Macon County Town & Country Fair,fair,Macon County Fairgrounds,1305 S Missouri St,Macon,Macon,MO,General public including seniors; county fair format with commercial/exhibit buildings historically attracting all ages including 65+ community,implied,"County fairs of this type include commercial exhibit buildings for vendors; registration via FairEntry.com; out-of-county early registration closed June 15, 2026 but open until check-in",,,,(660) 369-3523,https://fairentry.com/Public/EnterFair/23307,https://www.maconmochamber.com/event-calendar/macon-county-town-amp-country-fair-macon-county-fairgrounds,2026-06-28,confirmed,"Dates July 5-12, 2026 confirmed via multiple search results including FairEntry.com registration page and Macon Area Chamber of Commerce listing. Kids show animals and art projects; commercial exhibit building open during fair days."
2026-07-06,2026-07-14,2026 Scotland County Fair,fair,Scotland County Fairgrounds,"State Hwy 15, Memphis, MO 63555",Memphis,Scotland,MO,General public including families and seniors; county fair draws broad 65+ rural attendance,implied,County fairs standardly include commercial vendor and exhibitor booths. Vendor inquiries can be directed to the Scotland County Fair Board via scotlandcountyfair.com/contact-us/. Board contacts include Lane Pence (President) and Alexis Kittle (Secretary).,Free admission first three days (July 6-8); $20 daily admission July 9-11 starting at 2pm; season passes $55,Scotland County Fair Board,,,https://scotlandcountyfair.com/contact-us/,https://scotlandcountyfair.com/event/2026-scotland-county-fair/,2026-06-28,confirmed,"2026 theme is 'Homegrown Happiness.' Features entertainment, food, rides, 4-H and FFA livestock shows and projects, and a carnival (PBJ Happee Days Shows) running July 9-13. Date range from Memphis Democrat search snippet (July 6-14); scotlandcountyfair.com event listing shows July 4-11 — exact end date may differ slightly. Verify directly with fair board."
