date,end_date,event_name,event_type,venue,address,city,county,state,audience,tabling_confirmed,tabling_details,cost,contact_name,contact_email,contact_phone,registration_url,source_url,date_found,territory_status,notes
2026-07-22,2026-07-26,Scott County Fair,fair,Scott County Fairgrounds,,Benton,Scott,MO,general public,implied,contact fair for commercial vendor details,,,,,https://scottcountyfair.org/,https://scottcountyfair.org/,2026-06-29,confirmed,
2026-07-26,2026-08-01,Butler County Fair,fair,Butler County Fairgrounds,,Poplar Bluff,Butler,MO,general public,implied,commercial entries; exhibitor registration via FairEntry,,,,,https://butlercounty.fairentry.com/,https://www.bcfair.org/,2026-06-29,confirmed,Dates confirmed July 26–Aug 1 per official Facebook post
2026-08-05,2026-08-08,74th Sikeston Jaycee Bootheel Rodeo,festival,Sikeston Rodeo Grounds,1220 N. Ingram Rd.,Sikeston,Scott,MO,general public,implied,Sponsor Barn on-site; contact rodeo for sponsorship/vendor details,,,,1-800-455-BULL,https://sikestonrodeo.com/,https://sikestonrodeo.com/,2026-06-29,confirmed,74th annual PRCA rodeo with nightly concerts; ~40000 patrons over 4 nights
2026-08-17,2026-08-22,Missouri Peach Fair,festival,,,Campbell,Dunklin,MO,general public,implied,carnival/food vendors present; contact Kennett Chamber for details,,,,573-888-5828,https://www.facebook.com/p/Mo-Peach-Fair-100065530597800/,https://www.facebook.com/p/Mo-Peach-Fair-100065530597800/,2026-06-29,confirmed,Dunklin DROPPING 2027; date approximate (3rd week Aug per prior years); 7-day celebration
2026-08-24,,Purple Hull Pea Festival,festival,,,Clarkton,Dunklin,MO,general public,implied,,,,,573-276-4519,,https://bootrpc.com/dunklin,2026-06-29,confirmed,Dunklin DROPPING 2027; date approximate (4th week Aug per prior years); contact Malden Chamber 573-276-4519
2026-09-12,2026-09-19,SEMO District Fair,fair,SEMO Fairgrounds,410 Kiwanis Drive,Cape Girardeau,Cape Girardeau,MO,general public,yes,vendor applications accepted; space in Brase Arena Building or outdoor fairgrounds; acceptance not guaranteed,,,info@semofair.com,573-334-9250,https://www.semofair.com/vendors/,https://www.semofair.com/,2026-06-29,confirmed,Major regional district fair; submit vendor application to info@semofair.com; Wednesday is Senior Day
2026-09-15,2026-09-19,Stoddard County Fair,fair,Stoddard County Fairgrounds,608 Fairground Dr,Dexter,Stoddard,MO,general public,implied,vendor booths available; contact info@stoddardcountyfair.com,,,info@stoddardcountyfair.com,,https://www.stoddardcountyfair.com/,https://www.stoddardcountyfair.com/,2026-06-29,confirmed,Dates approximate (3rd week Sept Tue–Sat); 2025 was Sept 16-20; gates 5pm; adult admission $5
2026-09-16,,SEMO District Fair – Senior Day,senior day,SEMO Fairgrounds,410 Kiwanis Drive,Cape Girardeau,Cape Girardeau,MO,seniors 65+,implied,Senior Day sponsored by Montgomery Bank; free bingo 10am-2pm and 6-8pm; Name That Tune 2-4pm; livestock shows 8:30am,,,info@semofair.com,573-334-9250,https://www.semofair.com/schedule-of-events/,https://www.semofair.com/schedule-of-events/,2026-06-29,confirmed,Wednesday of SEMO Fair week; prime Medicare-table day; Reckless Kelly concert 8pm
2026-09-18,2026-09-19,Current River Heritage Days,festival,Current River Heritage Museum,,Doniphan,Ripley,MO,general public,yes,vendor/crafter registration available; contact curator 573-996-5298 or rctourism@windstream.net,,,rctourism@windstream.net,573-996-5298,https://www.doniphan.org/happenings-1,https://www.doniphan.org/happenings-1,2026-06-29,confirmed,"22nd annual; living history exhibits, pioneer demonstrations, live music, classic cars, military history"
2026-09-29,2026-10-03,Delta Fair,fair,Delta Fairgrounds,,Kennett,Dunklin,MO,general public,implied,,,,,573-888-5828,,https://www.greatriverroad.com/ud-events/delta-fair,2026-06-29,confirmed,Dunklin DROPPING 2027; largest fair in SE MO/NE AR area; agriculture/4-H/FFA emphasis; contact Kennett Chamber 573-888-5828
2026-10-02,2026-10-04,Bollinger County Fall Festival,festival,Marble Hill Ball Park,Highway 34,Marble Hill,Bollinger,MO,general public,yes,local and out-of-town vendor booths; contact Bollinger County Chamber 573-238-1900,,,,573-238-1900,https://www.facebook.com/BollingerCountyFair/,https://www.thebannerpress.com/news/annual-fall-festival-returns-oct-3-55984ad32/,2026-06-29,confirmed,Community parade Saturday Oct 3 at 9am; carnival rides; craft and food vendors
2026-10-10,,Walk to End Alzheimer's – Cape Girardeau,health walk,Capaha Park,1400 Broadway St,Cape Girardeau,Cape Girardeau,MO,seniors 65+; caregivers; general public,implied,sponsorship packages available; registration 8am; walk 9am,,,,314-432-3422,https://act.alz.org/site/TR/Walk2026/MO-Missouri?pg=entry&fr_id=19725,https://act.alz.org/site/TR/Walk2026/MO-Missouri?pg=entry&fr_id=19725,2026-06-29,confirmed,Date approximate (2025 was Oct 11); 2026 registration page active; verify date with Greater Missouri Chapter 314-432-3422
2026-10-10,,Walk to End Alzheimer's – Poplar Bluff,health walk,,,Poplar Bluff,Butler,MO,seniors 65+; caregivers; general public,implied,sponsorship packages available; contact Greater Missouri Chapter,,,,314-432-3422,https://act.alz.org/site/TR/Walk2026/MO-GreaterMissouri?pg=entry&fr_id=19739,https://act.alz.org/site/TR/Walk2026/MO-GreaterMissouri?pg=entry&fr_id=19739,2026-06-29,confirmed,Oct 10 date confirmed in search results; Alzheimer's Association Greater Missouri Chapter
